id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
4,10,3,13.79,686.0,-0.0009904259962781603,11.1,11.1,457.0,2.8
7,5,3,18.0,750.0,0.009872712772617587,10.0,10.0,1650.0,2.2
10,7,3,,,-0.018439092746997843,1.9,1.9,152.0,3.2
12,7,1,6.89,7500.0,0.01877209793804055,,12.8,1930.0,4.8
23,0,0,15.51,1355.0,0.04471968889726438,5.6,15.2,2134.0,2.1
27,8,1,13.79,,-0.014990519459231855,11.1,11.1,457.0,3.5
34,7,3,13.79,1275.0,0.006586374236759146,,7.8,591.0,2.4
36,7,3,13.79,1655.0,-0.02533952997420788,7.7,7.7,457.0,3.8
39,7,3,13.79,5588.0,-0.03585076225347475,5.7,5.7,625.0,3.3
43,7,3,18.96,2699.0,-0.031253657095739684,1.9,1.9,696.0,2.2
44,7,3,15.51,2197.0,-0.009749514006032994,1.9,,696.0,2.5
45,7,3,10.34,6049.0,-0.14972622661097007,10.3,10.3,762.0,10.8
50,7,3,,1356.0,0.019378828062858733,7.7,,,2.6
56,7,3,18.27,833.0,-0.12098867718831685,3.0,3.0,150.0,7.1
57,9,3,15.17,1335.0,0.024517823162913954,9.5,9.5,1836.0,2.9
60,7,3,,6022.0,-0.019411600877947355,,4.7,318.0,2.5
62,7,3,13.79,1736.0,0.01063829401043312,,7.8,591.0,2.0
68,7,3,13.79,1356.0,0.008237970166903058,3.0,3.0,150.0,1.8
70,10,0,11.03,679.0,0.06449225710868418,5.0,13.3,,1.1
74,7,3,6.89,1912.0,0.07859107065318673,12.8,12.8,1930.0,3.2
75,7,3,6.93,3838.0,-0.028017142906468784,10.8,10.8,864.0,6.6
76,7,3,6.89,6618.0,-0.05001775150848162,10.3,10.3,794.0,6.7
78,7,3,13.79,2712.0,-0.034319282457283135,7.7,7.7,457.0,3.9
81,7,1,9.0,4069.0,0.0288833581580194,11.5,11.5,864.0,2.8
85,0,0,11.03,2729.0,0.08094612918496663,5.6,,2134.0,1.6
93,7,3,6.89,5479.0,0.03931409814250274,23.6,,1972.0,3.9
95,7,3,6.89,4069.0,0.03673360789760456,10.8,10.8,432.0,2.3
97,2,0,6.89,3052.0,-0.003803476390481897,22.2,96.3,,2.3
99,10,3,6.89,1356.0,0.08946951002080408,23.6,23.6,1972.0,2.5
112,7,3,12.07,2102.0,0.024882421476890543,,1.9,696.0,2.2
116,7,3,10.34,5506.0,-0.048941500474693034,10.8,10.8,762.0,5.5
119,8,3,13.79,1980.0,0.010063835204335791,7.7,7.7,457.0,1.8
120,2,0,,2767.0,0.0020597072388004734,12.7,,737.0,3.1
122,7,3,6.86,,-0.026819113124731203,10.8,10.8,,6.5
127,7,3,18.96,,-0.0896389768335289,1.9,,152.0,3.9
137,7,3,13.79,888.0,0.01144363774185092,7.8,7.8,591.0,2.3
143,7,3,,3933.0,-0.025011955161731603,10.3,10.3,762.0,4.8
146,7,1,12.07,4028.0,-0.02852958282606799,1.9,1.9,152.0,3.9
148,7,3,13.79,2116.0,0.006665768357090429,,7.8,591.0,2.1
149,7,3,13.79,5588.0,-0.06905679398635775,,4.7,318.0,4.6
150,10,1,10.34,7378.0,-0.1178178899109324,10.3,10.3,762.0,9.0
155,0,0,8.27,2712.0,0.08877495852870751,5.6,15.2,2134.0,2.3
161,7,3,6.89,6144.0,-0.050549425216910304,10.3,,794.0,6.9
164,7,3,6.89,1031.0,-0.021507115109234365,,10.8,432.0,6.6
